antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len,consequent_len
"housing=no, job=retired",age_bin=61+,0.08772924938551711,0.09491397239553791,0.06693136698808849,0.7629310344827587,8.038131954938866,1.0,0.05860463543363026,3.8178174255315502,0.9597950879658088,0.5784313725490197,0.7380702405221038,0.7340551586756423,2,1
age_bin=61+,"housing=no, job=retired",0.09491397239553791,0.08772924938551711,0.06693136698808849,0.7051792828685259,8.038131954938866,1.0,0.05860463543363026,3.0943237622193953,0.9674141005713449,0.5784313725490197,0.676827611832463,0.7340551586756423,1,2
"job=retired, marital=married",age_bin=61+,0.07222537341652487,0.09491397239553791,0.055019852524106634,0.7617801047120418,8.026005923948185,1.0,0.04816465542539317,3.7993721158780707,0.943553532123616,0.490725126475548,0.7367986157973656,0.6707306898062202,2,1
"job=retired, loan=no",age_bin=61+,0.09359047078842882,0.09491397239553791,0.06976744186046512,0.7454545454545454,7.854002173125679,1.0,0.06088439849956678,3.5556951084461,0.9627837642581683,0.5875796178343949,0.7187610384184439,0.7402571532053603,2,1
age_bin=61+,"job=retired, loan=no",0.09491397239553791,0.09359047078842882,0.06976744186046512,0.7350597609561753,7.854002173125679,1.0,0.06088439849956678,3.421184839580517,0.9641916369027906,0.5875796178343949,0.7077036036080958,0.7402571532053603,1,2
"age_bin=61+, housing=no",job=retired,0.08735110606920023,0.0975609756097561,0.06693136698808849,0.7662337662337663,7.853896103896104,1.0,0.05840930785938603,3.860433604336044,0.9561997661459376,0.5673076923076923,0.740961740961741,0.7261401389308366,2,1
job=retired,"age_bin=61+, housing=no",0.0975609756097561,0.08735110606920023,0.06693136698808849,0.686046511627907,7.853896103896104,1.0,0.05840930785938603,2.906955736224029,0.96701786532295,0.5673076923076923,0.6559975139838409,0.7261401389308366,1,2
job=retired,age_bin=61+,0.0975609756097561,0.09491397239553791,0.07090187180941576,0.7267441860465116,7.656872509960159,1.0,0.061641972063509624,3.312229718041861,0.9633873873873874,0.5832037325038879,0.6980885732191351,0.7368780691188732,1,1
age_bin=61+,job=retired,0.09491397239553791,0.0975609756097561,0.07090187180941576,0.747011952191235,7.656872509960158,1.0,0.061641972063509624,3.5671211830228526,0.9605698767495299,0.5832037325038879,0.7196618929686658,0.7368780691188732,1,1
job=retired,"age_bin=61+, default=no",0.0975609756097561,0.09472490073737946,0.07071280015125733,0.7248062015503877,7.6516966067864285,1.0,0.06147134642078129,3.2895912057712136,0.9632894927012574,0.5816485225505444,0.6960108604845447,0.7356565937891659,1,2
"age_bin=61+, default=no",job=retired,0.09472490073737946,0.0975609756097561,0.07071280015125733,0.7465069860279442,7.651696606786428,1.0,0.06147134642078129,3.560015363933168,0.960271668476003,0.5816485225505444,0.719102335868803,0.7356565937891659,2,1
age_bin=61+,"default=no, job=retired",0.09491397239553791,0.09737190395159766,0.07071280015125733,0.7450199203187252,7.651282249642209,1.0,0.061470845947494426,3.5399945641898296,0.9604644486124966,0.5816485225505444,0.7175136905248717,0.7356167562758675,1,2
"default=no, job=retired",age_bin=61+,0.09737190395159766,0.09491397239553791,0.07071280015125733,0.7262135922330097,7.651282249642208,1.0,0.061470845947494426,3.3058106682006954,0.9630798733783036,0.5816485225505444,0.6975023374389782,0.7356167562758675,2,1
"contact=cellular, job=retired",age_bin=61+,0.06920022688598979,0.09491397239553791,0.05010398941198714,0.7240437158469946,7.628420743256482,1.0,0.04353592098756535,3.2798166940914175,0.9335103997792419,0.43946932006633493,0.6951049118685512,0.625966081031067,2,1
"age_bin=61+, loan=no",job=retired,0.09377954244658726,0.0975609756097561,0.06976744186046512,0.7439516129032258,7.625504032258064,1.0,0.06061821820713953,3.5244862684847313,0.9587745679251076,0.5738724727838258,0.716270706190061,0.7295339459864966,2,1
job=retired,"age_bin=61+, loan=no",0.0975609756097561,0.09377954244658726,0.06976744186046512,0.7151162790697674,7.625504032258063,1.0,0.06061821820713953,3.181018748962999,0.9627920603530359,0.5738724727838258,0.6856353014813269,0.7295339459864966,1,2
"age_bin=61+, contact=cellular",job=retired,0.06806579693703914,0.0975609756097561,0.05010398941198714,0.736111111111111,7.545138888888888,1.0,0.04346342385715406,3.41976893453145,0.9308214380045706,0.4337152209492634,0.7075825825825826,0.6248385012919896,2,1
"age_bin=61+, marital=married",job=retired,0.07487237663074305,0.0975609756097561,0.055019852524106634,0.7348484848484849,7.53219696969697,1.0,0.047715230413790236,3.4034843205574914,0.9374237549539527,0.46859903381642504,0.7061834561834562,0.649400986610289,2,1
"duration_bin=mid_low, pdays_bin=91-365d",poutcome=success,0.08943089430894309,0.1849120816789563,0.05615428247305729,0.627906976744186,3.395705521472393,1.0,0.0396174296399799,2.1905487804878048,0.7748015873015874,0.25736568457538994,0.5434933890048712,0.46579397916963905,2,1
"housing=no, pdays_bin=91-365d",poutcome=success,0.184344866704481,0.1849120816789563,0.11230856494611458,0.6092307692307692,3.2947050495516756,1.0,0.07822097189695927,2.085854909089285,0.8538935952009666,0.4370860927152318,0.5205802687222312,0.6082963662104767,2,1
poutcome=success,"housing=no, pdays_bin=91-365d",0.1849120816789563,0.184344866704481,0.11230856494611458,0.6073619631901841,3.2947050495516756,1.0,0.07822097189695927,2.077371667612025,0.854487814821844,0.4370860927152318,0.5186224903367834,0.6082963662104767,1,2
"duration_bin=low, pdays_bin=91-365d",poutcome=success,0.09453582907922102,0.1849120816789563,0.0570996407638495,0.604,3.2664171779141107,1.0,0.039618823815564724,2.0583028240430394,0.7662966594250897,0.2568027210884354,0.5141628392484342,0.4563967280163599,2,1
"duration_bin=mid_low, pdays_bin=91-365d",previous_bin=2-5,0.08943089430894309,0.1970126678010966,0.05426356589147287,0.6067653276955602,3.0798290001744895,1.0,0.03664454681983008,2.0420054200542004,0.7416314086610254,0.23371335504885993,0.5102853351028533,0.44109859474989144,2,1
