support,itemsets
0.990168273775761,default=no
0.908489317451314,loan=no
0.9014936660994517,"default=no, loan=no"
0.8260540744942333,contact=cellular
0.8188693514842125,"contact=cellular, default=no"
0.7526942711287578,"contact=cellular, loan=no"
0.7481565513329552,"contact=cellular, default=no, loan=no"
0.6401966345244848,poutcome=unknown
0.6398184912081679,previous_bin=0
0.6398184912081679,"pdays_bin=never_contacted, poutcome=unknown, previous_bin=0"
0.6398184912081679,"pdays_bin=never_contacted, previous_bin=0"
0.6398184912081679,"pdays_bin=never_contacted, poutcome=unknown"
0.6398184912081679,"poutcome=unknown, previous_bin=0"
0.6398184912081679,pdays_bin=never_contacted
0.6341463414634146,housing=no
0.631310266591038,"default=no, poutcome=unknown"
0.6309321232747211,"default=no, pdays_bin=never_contacted, poutcome=unknown"
0.6309321232747211,"default=no, poutcome=unknown, previous_bin=0"
0.6309321232747211,"default=no, pdays_bin=never_contacted"
0.6309321232747211,"default=no, previous_bin=0"
0.6309321232747211,"default=no, pdays_bin=never_contacted, previous_bin=0"
0.6297976933257705,"default=no, housing=no"
0.5927396483267158,"housing=no, loan=no"
0.5899035734543392,"default=no, housing=no, loan=no"
0.5713745509548118,"loan=no, poutcome=unknown"
0.5711854792966534,"loan=no, pdays_bin=never_contacted, previous_bin=0"
0.5711854792966534,"loan=no, poutcome=unknown, previous_bin=0"
0.5711854792966534,"loan=no, previous_bin=0"
0.5711854792966534,"loan=no, pdays_bin=never_contacted"
0.5711854792966534,"loan=no, pdays_bin=never_contacted, poutcome=unknown"
0.5649461145774248,"default=no, loan=no, poutcome=unknown"
0.5647570429192664,"default=no, loan=no, pdays_bin=never_contacted"
0.5647570429192664,"default=no, loan=no, previous_bin=0"
0.5450935904707884,"contact=cellular, housing=no"
0.541501228965778,"contact=cellular, default=no, housing=no"
0.5208924182265079,marital=married
0.517110985063339,"default=no, marital=married"
0.5103044053696351,"contact=cellular, housing=no, loan=no"
0.4946114577424844,"contact=cellular, poutcome=unknown"
0.4942333144261675,"contact=cellular, pdays_bin=never_contacted, poutcome=unknown"
0.4942333144261675,"contact=cellular, poutcome=unknown, previous_bin=0"
0.4942333144261675,"contact=cellular, pdays_bin=never_contacted, previous_bin=0"
0.4942333144261675,"contact=cellular, previous_bin=0"
0.4942333144261675,"contact=cellular, pdays_bin=never_contacted"
0.4883720930232558,"contact=cellular, default=no, poutcome=unknown"
0.48799394970693893,"contact=cellular, default=no, previous_bin=0"
0.48799394970693893,"contact=cellular, default=no, pdays_bin=never_contacted"
0.48421251654377007,campaign_bin=1
0.4796747967479675,"campaign_bin=1, default=no"
0.4698430705237285,"loan=no, marital=married"
0.4671960673095103,"default=no, loan=no, marital=married"
0.46322556248818303,education=secondary
0.45793155605974667,"default=no, education=secondary"
0.4433730383815466,age_bin=31-45
0.44261675174891285,"contact=cellular, loan=no, poutcome=unknown"
0.4424276800907544,"contact=cellular, loan=no, previous_bin=0"
0.4424276800907544,"campaign_bin=1, loan=no"
0.4424276800907544,"contact=cellular, loan=no, pdays_bin=never_contacted"
0.438835318585744,"campaign_bin=1, default=no, loan=no"
0.4380790319531102,"age_bin=31-45, default=no"
0.42162979769332576,"contact=cellular, marital=married"
0.4186046511627907,"contact=cellular, default=no, marital=married"
0.4076384949896011,"education=secondary, loan=no"
0.4059368500661751,"campaign_bin=1, contact=cellular"
0.4038570618264322,"default=no, education=secondary, loan=no"
0.40234448856116467,"campaign_bin=1, contact=cellular, default=no"
0.39988655700510495,"age_bin=31-45, loan=no"
0.39723955379088677,"housing=no, poutcome=unknown"
0.3970504821327283,"housing=no, poutcome=unknown, previous_bin=0"
0.3970504821327283,"housing=no, previous_bin=0"
0.3970504821327283,"housing=no, pdays_bin=never_contacted"
0.3970504821327283,"housing=no, pdays_bin=never_contacted, previous_bin=0"
0.3970504821327283,"housing=no, pdays_bin=never_contacted, poutcome=unknown"
0.39686141047456985,"age_bin=31-45, default=no, loan=no"
0.3928909056532426,"default=no, housing=no, poutcome=unknown"
0.3927018339950841,"default=no, housing=no, pdays_bin=never_contacted"
0.3927018339950841,"default=no, housing=no, previous_bin=0"
0.3817356778218945,campaign_bin=2-3
0.38135753450557763,"contact=cellular, loan=no, marital=married"
0.378521459633201,"contact=cellular, education=secondary"
